video_id,author,comment,like_count,published,comment_clean,comment_normalized
At9u_bDYIe0,@fauziaharizal5554,Ayo tangkap para bajingan yg membuat negara kita rugi,0,2025-11-15T13:19:06Z,Ayo tangkap para bajingan yg membuat negara kita rugi,ayo tangkap para bajingan membuat negara rugi
At9u_bDYIe0,@dahlanasda354,"Tumben metro dulu aku juluki metro TiVu, mhn maaf aku gak nonton TV terutama isu pilpres pileg. Blm sembuh 3x pilpres. Ini mulai sepertinya bela RI,  mafianya gimana?",0,2025-11-15T11:51:18Z,Tumben metro dulu aku juluki metro TiVu mhn maaf aku gak nonton TV terutama isu pilpres pileg Blm sembuh 3x pilpres Ini mulai sepertinya bela RI mafianya gimana,tumben metro dulu juluki metro tivu mhn maaf gak nonton terutama isu pilpr pileg blm sembuh pilpr mulai sepertinya bela mafianya gimana
At9u_bDYIe0,@yusmidiCurup,Mantap kejar teus,0,2025-11-15T09:37:35Z,Mantap kejar teus,mantap kejar teu
At9u_bDYIe0,@marwanhm105,Pak Purbaya dihajar atas Penipuan brg bekas dan menghindari kena Pajak yg besar Bravo.,0,2025-11-15T07:15:37Z,Pak Purbaya dihajar atas Penipuan brg bekas dan menghindari kena Pajak yg besar Bravo,pak purbaya dihajar ata penipuan brg beka menghindari kena pajak besar bravo
At9u_bDYIe0,@RahmadaniDani-xc1nb,Yang/Nikel/Expor/Ke/Cina/Yaitu/Barang/Nikel/Yg/Expor/Ilegal/Jaman/Jokowe!Yoe!,0,2025-11-15T05:04:40Z,Yang Nikel Expor Ke Cina Yaitu Barang Nikel Yg Expor Ilegal Jaman Jokowe Yoe,nikel expor cina barang nikel expor ileg jaman jokow yoe
At9u_bDYIe0,@ya_udahlah,Kotak Pandora telah terbuka.siapapun kelak presiden nya rakyat sudah tau dan akan menepalkan pejabat pejabat korup maling,0,2025-11-15T04:54:36Z,Kotak Pandora telah terbuka siapapun kelak presiden nya rakyat sudah tau dan akan menepalkan pejabat pejabat korup maling,kotak pandora terbuka siapapun kelak presiden nya rakyat tau menepalkan pejabat pejabat korup male
At9u_bDYIe0,@ya_udahlah,Masya Allah kita punya koboi dar der dor buat menjaga perbendaharaan negara.Selamat pak Pur semoga anda sehat selalu,0,2025-11-15T04:51:43Z,Masya Allah kita punya koboi dar der dor buat menjaga perbendaharaan negara Selamat pak Pur semoga anda sehat selalu,masya allah punya koboi dar der dor buat menjaga perbendaharaan negara selamat pak pur semoga anda sehat selalu
At9u_bDYIe0,@rudisuparman1045,"Usut sampai tuntas tanah negara dijual ke negara untuk jalur WHOOOSH KCIC,,,,,,😊😊😊😊😊😊",0,2025-11-15T02:33:47Z,Usut sampai tuntas tanah negara dijual ke negara untuk jalur WHOOOSH KCIC,usut tunta tanah negara dijual negara jalur whooosh kcic
At9u_bDYIe0,@rudisuparman1045,"Pak PURBAYA CARI UANG,yang GEMUK MAFIA WHOOOSH,,,,wah,wah,wah 😊😊😊😊😊😊😊😊😊",0,2025-11-15T02:15:25Z,Pak PURBAYA CARI UANG yang GEMUK MAFIA WHOOOSH wah wah wah,pak purbaya cari uang gemuk mafia whooosh wah wah wah
At9u_bDYIe0,@rudisuparman1045,"Di jabar ada KDM,di keuangan ada Pak PUrbaya, hasil nya akan cepat terasa bagi Rakyat,,,❤❤❤❤❤❤❤❤❤",0,2025-11-15T02:11:48Z,Di jabar ada KDM di keuangan ada Pak PUrbaya hasil nya akan cepat terasa bagi Rakyat,jabar kdm keuangan pak purbaya hasil nya cepat terasa bagi rakyat
At9u_bDYIe0,@rudisuparman1045,"Pak PURBAYA,,awasi terus PELINDO,,dan BEA CUKAI di situlah sumber kas negara numpuk,,jangan habis dimakan TIKUS,,,❤",0,2025-11-15T02:00:22Z,Pak PURBAYA awasi terus PELINDO dan BEA CUKAI di situlah sumber kas negara numpuk jangan habis dimakan TIKUS,pak purbaya awasi teru pelindo bea cukai situlah sumber ka negara numpuk jangan habi dimakan tiku
At9u_bDYIe0,@singgihjunardi6071,"Mana yang lebih berbobot,Menkeu atau wapres?🤣😂😅",0,2025-11-14T18:47:55Z,Mana yang lebih berbobot Menkeu atau wapres,lebih berbobot menkeu wapr
At9u_bDYIe0,@untungsantoso9559,"Berarti selama ini Mentri srimulyani hanya sebagai kalkulator negara saja yah , ini saya baru tau kalau Mentri keuangan bukan cuma ngitung jumlah uang negara yang masuk dan yang keluar",0,2025-11-14T16:28:58Z,Berarti selama ini Mentri srimulyani hanya sebagai kalkulator negara saja yah ini saya baru tau kalau Mentri keuangan bukan cuma ngitung jumlah uang negara yang masuk dan yang keluar,berarti mentri srimulyani hanya sebagai kalkul negara yah baru tau kalau mentri keuangan bukan cuma ngitung jumlah uang negara masuk keluar
At9u_bDYIe0,@AmengMuhib,"Kenapa mentri2 keuangan kemaren2 pada diem aja , apakah dia melindungi...?",0,2025-11-14T03:17:08Z,Kenapa mentri2 keuangan kemaren2 pada diem aja apakah dia melindungi,kenapa mentri keuangan kemaren diem aja apakah melindungi
At9u_bDYIe0,@AmengMuhib,Sùgguh2 sangat biadab para pelaķnya.inî pasti para malingnya udh dari dulu.,0,2025-11-14T03:04:23Z,Sgguh2 sangat biadab para pelanya in pasti para malingnya udh dari dulu,sgguh sangat biadab para pelanya pasti para malingnya udh dulu
At9u_bDYIe0,@MHosen-n6u,Smg BPK H Prabowo Subianto dan BPK Purbaya sklg dlm lindungan Allah SWT Amin YRA,0,2025-11-13T23:32:21Z,Smg BPK H Prabowo Subianto dan BPK Purbaya sklg dlm lindungan Allah SWT Amin YRA,smg bpk prabowo subianto bpk purbaya sklg dlm lindungan allah swt amin yra
At9u_bDYIe0,@MHosen-n6u,Ya terutama hukum di Indonesia harus tegas jangan tajam kebawah tumpul keatas itulah yg perlu ditegakkan jgn pilih kasih baru negara kita Indonesia bebas dari segala macam cara yg terjadi di negara kita Indonesia bebas dari koruptor dan intimidasi pd rakyat Indonesia smg para pejabat penegak hukum sadar dg adaxa reformasi kepolisian smg kedepan lebih baik dari sebelumnya Amin YRA,0,2025-11-13T23:21:03Z,Ya terutama hukum di Indonesia harus tegas jangan tajam kebawah tumpul keatas itulah yg perlu ditegakkan jgn pilih kasih baru negara kita Indonesia bebas dari segala macam cara yg terjadi di negara kita Indonesia bebas dari koruptor dan intimidasi pd rakyat Indonesia smg para pejabat penegak hukum sadar dg adaxa reformasi kepolisian smg kedepan lebih baik dari sebelumnya Amin YRA,terutama hukum indonesia haru tega jangan tajam kebawah tumpul keata itulah perlu ditegakkan jgn pilih kasih baru negara indonesia beba segala macam cara terjadi negara indonesia beba koruptor intimidasi rakyat indonesia smg para pejabat penegak hukum sadar adaxa reformasi kepolisian smg kedepan lebih baik sebelumnya amin yra
At9u_bDYIe0,@edybilangin0705,Bismillah... pasti bisa 🙏🏻,0,2025-11-13T21:19:25Z,Bismillah pasti bisa,bismillah pasti bisa
At9u_bDYIe0,@YuyunNur-n4j,Issue2 yg seperti inilah yg harusnya di up terus. Bukan Issue2 yg tak penting,0,2025-11-13T14:27:42Z,Issue2 yg seperti inilah yg harusnya di up terus Bukan Issue2 yg tak penting,issu seperti inilah harusnya teru bukan issu tak pent
At9u_bDYIe0,@cementel3000,"Naahh..Naah.. bersikap tegas untuk rakyat itu penting dan wajib. 
Now.. berapa juta jiwa bahkan belasan juta jiwa rakyat bisa sejahtera menciptakan pekerjaan formal  atau lainya dengan uang negara yg di gelapkan itu. Rakyat akan lebih mapan,  produktif dan maju merata. Dunia akan lebih menghormati Indonesia Sebagai negara benar2 besar.",0,2025-11-13T10:30:50Z,Naahh Naah bersikap tegas untuk rakyat itu penting dan wajib Now berapa juta jiwa bahkan belasan juta jiwa rakyat bisa sejahtera menciptakan pekerjaan formal atau lainya dengan uang negara yg di gelapkan itu Rakyat akan lebih mapan produktif dan maju merata Dunia akan lebih menghormati Indonesia Sebagai negara benar2 besar,naahh naah bersikap tega rakyat pent wajib now berapa juta jiwa bahkan belasan juta jiwa rakyat bisa sejahtera menciptakan pekerjaan formal lainya uang negara gelapkan rakyat lebih mapan produktif maju merata dunia lebih menghormati indonesia sebagai negara benar besar
At9u_bDYIe0,@astrida.lestari1017,"Bisa tapi pasti ada aja akalnya mereka untuk menjegal.. 
Semoga niat baik Pemerintah dilindungi Tuhan..",0,2025-11-13T06:42:17Z,Bisa tapi pasti ada aja akalnya mereka untuk menjegal Semoga niat baik Pemerintah dilindungi Tuhan,bisa pasti aja akalnya menjeg semoga niat baik pemerintah dilindungi tuhan
At9u_bDYIe0,@SahrinKelana,UUD 1945 PASAL 33 KAN SUDAH TERPENUHI,0,2025-11-13T03:29:00Z,UUD 1945 PASAL 33 KAN SUDAH TERPENUHI,uud pasal kan terpenuhi
At9u_bDYIe0,@mbachtiarcirebon8508,"*Parah bea cukai antek*
 *ERA JOKOWI SRI MULYANI*
*PENIPUAN FAKTUR IMPORTIR BARANG DIMURAHKAN UNTUK PENJUALAN DAN DIMAHALKAN BILA PEMBELINYA ANGGARAN APBN*",0,2025-11-12T23:38:23Z,Parah bea cukai antek ERA JOKOWI SRI MULYANI PENIPUAN FAKTUR IMPORTIR BARANG DIMURAHKAN UNTUK PENJUALAN DAN DIMAHALKAN BILA PEMBELINYA ANGGARAN APBN,parah bea cukai antek era jokowi sri mulyani penipuan faktur importir barang dimurahkan penjualan dimahalkan pembelinya anggaran apbn
At9u_bDYIe0,@EntinSuhartini-on5tm,Purbaya malaikat indonesia allah kirim dari langit kesunyiaan!,1,2025-11-12T23:19:44Z,Purbaya malaikat indonesia allah kirim dari langit kesunyiaan,purbaya malaikat indonesia allah kirim langit kesunyiaan
At9u_bDYIe0,@EmiLaka-s5g,Bisa kalau Rakyat dan Pemerintah bersatu. Tuhan lindung,0,2025-11-12T23:05:16Z,Bisa kalau Rakyat dan Pemerintah bersatu Tuhan lindung,bisa kalau rakyat pemerintah bersatu tuhan lindung
At9u_bDYIe0,@khoirihafidz1686,"Sejak th 1995 udah ada 
Import baju bekas.",0,2025-11-12T17:08:19Z,Sejak th 1995 udah ada Import baju bekas,udah import baju beka
