video_id,author,comment,like_count,published
At9u_bDYIe0,@youabc9017,Itu kalau Mentri turun ke lapangan pasti ada yang di temukan lain dari pada Mentri yang hanya duduk di kantor ber Ace.teruskan perjunganmu bersama Rakyat.,0,2025-11-06T04:13:06Z
At9u_bDYIe0,@arazakelly8262,Kalau aku sih lebih baik Pa Purbaya saja yang jadi Presiden ganti Prabowo Pa Prabowo udah ketahuan kurang akalnya,0,2025-11-06T02:19:59Z
At9u_bDYIe0,@Senggoro-h9n5y,Segala bentuk kejahatan di Negeri ini semakin menjadi jadi karena peluang yang dirangsang oleh kondisi internal dari Aparat. Jadi bersih bersih  mereka tksh,0,2025-11-06T00:26:17Z
At9u_bDYIe0,@rusdiaffandi8046,Menyedihkan....justru Prabowo sekarang yang berbalik arah....miris.,0,2025-11-05T21:42:06Z
At9u_bDYIe0,@KafiUsis,"Bahlil parah,pecaaAAAAT",0,2025-11-05T18:40:49Z
At9u_bDYIe0,@EndroSuhartoyo,Korupsi sudah mengakar dari dahulu cuma atau hanya dibiarkan saja sama pemerintah mungkin saja banyak sekali oknum2 bermuka dua,0,2025-11-05T17:02:49Z
At9u_bDYIe0,@lurahdaud7455,Tolong sekalian Gapoktan seluruh indra mayu belum pernah di bagikan sama petani dari semenjak ada Gapoktan tolong sekalian di usut,0,2025-11-05T17:01:02Z
At9u_bDYIe0,@monmaxwitnaojulgri6032,Kalo problem inti masalah di human capital alias SDM maka bisa dgn mudah diganti robot atau AI dan camera CCTV gak perlu lagi ada campur tangan manusia biar data realnya gak bs lagi diobok2 atau dimanipulasi 😅😂,1,2025-11-05T16:58:07Z
At9u_bDYIe0,@Tasripsamangka-rl5rv,"Cuman abis di omon omon 😂😂😂 ,,,sampe habis masa jabatan korupsi jalan terus ,,,, 😂😂😂 begitu dan seterusnya ,,,,sampai sampai  presiden yg akan datang  begitu terus ceritanya bersambung ,,,, 😂😂😂😂😂",0,2025-11-05T15:51:33Z
At9u_bDYIe0,@Risusu1,"Barang barang dari China yg tidak bayar chukai ayo semua di bongkar paling banyak di beacukai ,pak purbaya",0,2025-11-05T15:37:15Z
At9u_bDYIe0,@DeraculMihawk-b8j,"Kadrun2 perusak peradaban. Sudah terjadi dari abad ke 6.. smuanya mengalami kemunduran, Indonesia sedang berproses ke dalam kebinasaan sejak kadrun berkuasa di Majapahit dan memulai peperangan, dan membinasakan majapahit.. Indonesia OTW sebentar lagi.",0,2025-11-05T15:03:09Z
At9u_bDYIe0,@Sutrisno62-b5i,Koruptor blanja barang bend,0,2025-11-05T14:03:17Z
At9u_bDYIe0,@EllySulis-i6i,Ayook wahai pejabat yg jujur bantu Purbaya perbaiki negri ini. Saat kalian muncul gk usa takut persiden mendukung kalian.,0,2025-11-05T10:07:47Z
At9u_bDYIe0,@muhamadhamid1960,Bisa bayar utang dong,0,2025-11-05T09:19:09Z
